user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,OpenAcc-meanAcc,MiddleAcc-meanAcc,EndAcc-meanAcc,OpenAcc-meanOpenAcc,MiddleAcc-meanMiddleAcc,EndAcc-meanEndAcc
xtremeungar,4,5,9,2.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,2232.0,84.10160374820758,94.26126257896465,91.51157470074443,89.69966221837308,0.3333333333333333,10.159658830757067,7.4099709525368525,5.598058470165498,-0.6514623362954808,0.6967326246454775,-1.7375730772141367
wannabe2700,4,5,9,2.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,5.0,2291.0,88.09596114217449,93.38767322639445,93.19308796340626,95.66511437335954,0.4444444444444444,5.2917120842199665,5.097126821231768,7.569153231185055,-1.5250516888656733,2.378245887307301,4.227879077772329
HowToTameADragon,4,5,9,3.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,1959.0,92.4186164633579,90.86223949274768,94.06238591513029,96.44208013639678,0.7777777777777778,-1.5563769706102306,1.6437694517723855,4.023463673038876,-4.050485422512452,3.247543839031337,5.004844840809568
DragonB70,4,5,9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2235.3333333333335,84.38909592195436,96.70176518267291,91.45489826443259,85.38762276093715,0.0,12.31266926071855,7.0658023424782215,0.9985268389827837,1.789040267412787,0.6400561883336309,-6.049612534650066
MoreChessJulia,4,5,9,2.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,1881.111111111111,84.06114060721524,93.81203037653971,88.89040640815328,88.77571315344163,0.3333333333333333,9.750889769324473,4.829265800938046,4.7145725462263925,-1.1006945387204183,-1.924435667945673,-2.6615221421455857
darsen_sanzhaev,4,5,9,3.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,2169.1111111111113,87.16170167938155,95.17878149472855,91.2445276552894,91.4967725443343,0.6666666666666666,8.017079815347003,4.082825975907852,4.335070864952755,0.266056579468426,0.4296855791904477,0.0595372487470911
Rogue_King,3,5,8,2.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,2008.625,80.86532538250411,95.61596817753174,89.50899366922934,92.74409336772912,0.375,14.75064279502763,8.64366828672523,11.87876798522501,0.7032432622716129,-1.3058484068696146,1.3068580721419067
Polemistis,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1349.0,79.53031996623702,94.12013816375,87.04563921115881,84.78809422998816,0.0,14.589818197512983,7.515319244921798,5.257774263751145,-0.7925867515101288,-3.769202864940141,-6.6491410655990535
redchessman,4,4,8,3.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2260.25,85.65311678100974,95.67785464143536,88.75706644933054,88.66526048082574,0.5,10.024737860425617,3.1039496683207943,3.0121436998159936,0.7651297261752319,-2.057775626768418,-2.771974814761478
monika84,4,4,8,2.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,2044.0,84.5952069216568,95.70876581188008,89.38402865023814,90.48621056058133,0.375,11.113558890223288,4.78882172858134,5.891003638924531,0.7960408966199566,-1.4308134258608192,-0.9510247350058876
KestutisLabeckas,4,4,8,3.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,2383.875,90.16178028968999,96.70094994883068,92.67278198257301,93.66451783770093,0.5,6.539169659140697,2.5110016928830277,3.5027375480109413,1.788225033570555,1.8579399064740585,2.227282542113713
Spas_Kozhuharov,4,4,8,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,2411.0,87.6136020713501,96.05238537670502,94.19843188040294,91.4346615695425,0.5,8.438783305354917,6.5848298090528345,3.8210594981923975,1.1396604614448904,3.3835898043039805,-0.0025737260447158405
Hikaru,4,4,8,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.625,85.7107602597691,94.78596361430063,92.0747075805136,91.16198744355925,0.625,9.075203354531524,6.363947320744501,5.451227183790152,-0.126761300959501,1.2598655044146483,-0.27524785202795954
DoctorMove,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1757.75,80.54115823411739,95.42538125249243,88.54612214302792,86.12634210566658,0.0,14.884223018375039,8.004963908910526,5.585183871549191,0.5126563372323005,-2.26871993307104,-5.310893189920634
mat_kolosowski,5,3,8,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,2344.0,87.70961749495524,95.77488723058423,92.18510795191675,92.44847586751054,0.375,8.065269735628988,4.475490456961509,4.738858372555299,0.8621623153240989,1.3702658758177932,1.0112405719233237
VerdeNotte,4,4,8,1.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,2515.375,90.45551808770327,93.0312897441941,94.28945986679594,94.64676807367044,0.5,2.5757716564908293,3.833941779092669,4.1912499859671755,-1.8814351710660304,3.474617790696982,3.2095327780832292
dsanchez1973,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,1837.5,79.20306909715684,94.87016100316468,88.3321621532443,83.52645395273974,0.0,15.66709190600784,9.129093056087456,4.323384855582901,-0.042563912095445744,-2.4826799228546577,-7.910781342847471
playerzr,4,4,8,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,1875.625,82.89937408977522,95.34481446543447,89.28309423079499,88.04841241616808,0.25,12.445440375659246,6.383720141019765,5.149038326392855,0.43208955017433937,-1.5317478453039683,-3.3888228794191377
davopetr,4,4,8,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2564.25,94.97719994117764,96.73111811458347,94.45308334757217,97.62180348418143,0.625,1.7539181734058218,-0.5241165936054699,2.6446035430037824,1.8183931993233386,3.6382412714732197,6.184568188594213
Baggio95,4,3,7,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2366.0,86.5686437067232,94.41977667298355,90.49632991101087,90.58088705125783,0.2857142857142857,7.8511329662603515,3.9276862042876814,4.012243344534639,-0.49294824227658296,-0.3185121650880802,-0.8563482443293822
