user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,opening_distance,middlegame_distance,endgame_distance,opening_distance_alt,middlegame_distance_alt,endgame_distance_alt
chito89,4,5,9,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2586.3333333333335,88.17019996999397,96.30878988724436,89.95615084709615,93.01301534249347,0.5555555555555556,8.138589917250385,1.7859508771021808,4.842815372499501,1.2688841416527765,-0.9834479064206505,1.4953832169595103
biostatistician,4,5,9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,2296.5555555555557,85.73565215081595,96.22526539311123,89.23203260756675,92.03797758287823,0.0,10.489613242295277,3.4963804567507992,6.3023254320622755,1.1853596475196468,-1.7075661459500537,0.5203454573442627
marabu44,4,5,9,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,5.0,2216.8888888888887,88.72006786090137,94.30956902186307,90.99098516661198,94.26309710648218,0.0,5.589501160961703,2.2709173057106113,5.5430292455808114,-0.730336723728513,0.05138641309517311,2.7454649809482135
minnesotachessmaster,4,5,9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1921.5555555555557,80.29471380137774,95.02300769840286,88.73432287773805,89.43090641943533,0.0,14.728293897025125,8.439609076360313,9.136192618057592,-0.016898047188718124,-2.205275875778753,-2.0867257060986333
XeresLt,4,5,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2273.8888888888887,82.5174153785122,93.97456518508665,89.08958352164217,89.42060563420169,0.0,11.45714980657445,6.572168143129971,6.903190255689495,-1.0653405605049358,-1.850015231874636,-2.0970264913322723
xtremeungar,4,5,9,2.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,2232.0,84.09016089276109,94.3328637683507,91.58202380255369,90.09332063799347,0.3333333333333333,10.242702875589615,7.4918629097926015,6.003159745232381,-0.7070419772408769,0.6424250490368877,-1.4243114875404927
wannabe2700,4,5,9,2.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,5.0,2291.0,88.21223308484836,93.79100249673422,93.06145350815278,95.43052335339877,0.4444444444444444,5.578769411885858,4.849220423304416,7.218290268550405,-1.24890324885736,2.121854754635976,3.9128912278648045
HowToTameADragon,4,5,9,3.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,1959.0,92.85176787519532,91.3322955312753,94.4508342357083,96.71076848455273,0.7777777777777778,-1.5194723439200146,1.5990663605129782,3.859000609357409,-3.7076102143162757,3.511235482191495,5.193136359018766
DragonB70,4,5,9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2235.3333333333335,84.73772128757255,96.8774466339744,91.4075075989333,86.42306758937379,0.0,12.139725346401846,6.669786311360738,1.685346301801232,1.8375408883828186,0.46790884541648836,-5.094564536160178
MoreChessJulia,4,5,9,2.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,1881.111111111111,84.42178482890374,94.14640488549148,89.00382721734498,88.97846851390847,0.3333333333333333,9.724620056587739,4.582042388441238,4.556683685004728,-0.8935008601001044,-1.9357715361718277,-2.539163611625497
darsen_sanzhaev,4,5,9,3.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,2169.1111111111113,86.6501859104482,95.04343722902176,90.67746573654057,91.51326058409748,0.6666666666666666,8.393251318573562,4.027279826092368,4.86307467364928,0.00353148343018006,-0.2621330169762359,-0.004371541436483994
Rogue_King,3,5,8,2.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,2008.625,81.0593123825709,96.13423281567587,89.73028547300969,93.12661283113445,0.375,15.074920433104978,8.670973090438792,12.067300448563557,1.0943270700842902,-1.2093132805071178,1.6089807056004872
Polemistis,3,5,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1349.0,79.50644799381904,94.12309464788652,87.24899950512147,85.07436864121607,0.0,14.61664665406748,7.7425515113024375,5.567920647397031,-0.9168110977050645,-3.69059924839533,-6.443263484317896
redchessman,4,4,8,3.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2260.25,85.45517254235189,96.39446648463328,88.61550499736035,89.19729086766944,0.5,10.939293942281395,3.160332455008458,3.7421183253175485,1.3545607390417018,-2.324093756156458,-2.320341257864527
monika84,4,4,8,2.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,2044.0,84.10772823637093,95.74989461282627,88.53311005814642,90.01370877324857,0.375,11.642166376455336,4.425381821775488,5.905980536877635,0.709988867234685,-2.406488695370385,-1.5039233522853976
KestutisLabeckas,4,4,8,3.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,2383.875,89.83885376617798,96.48413263363264,92.6724318234085,94.20572626957039,0.5,6.645278867454664,2.8335780572305254,4.366872503392415,1.444226888041058,1.7328330698916972,2.6880941440364268
Spas_Kozhuharov,4,4,8,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,2411.0,87.30909424135417,96.0721050449114,93.63547077113975,91.571517588727,0.5,8.763010803557222,6.326376529785577,4.262423347372831,1.0321992993198137,2.6958720176229463,0.05388546319304055
Hikaru,4,4,8,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.625,85.72349570873457,95.22216530842438,91.93870054400351,91.46883062243651,0.625,9.498669599689805,6.215204835268935,5.745334913701939,0.18225956283279743,0.999101790486705,-0.048801503097450905
DoctorMove,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1757.75,80.00215200267351,95.72656308939796,89.04991804880534,84.47032610122208,0.0,15.724411086724444,9.047766046131827,4.468174098548573,0.6866573438063739,-1.8896807047114663,-7.0473060243118795
mat_kolosowski,5,3,8,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,2344.0,87.67881042741654,96.42424650377426,92.58554006842355,92.9709567967975,0.375,8.74543607635772,4.9067296410070185,5.2921463693809585,1.3843407581826739,1.64594131490675,1.4533246712635304
