Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,Moves
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,DanielRensch,gumersindo,0-1,2361,2138,180+2,12:08:15 PDT,gumersindo won by checkmate,"d2d4,d7d5,b1c3,g8f6,c1f4,e7e6,e2e3,f8d6,f4g3,e8g8,a2a3,a7a6,f1d3,c7c5,d4c5,d6c5,g1f3,b8c6,e1g1,c5d6,e3e4,d6g3,h2g3,d5d4,c3e2,e6e5,c2c3,d4c3,e2c3,c8e6,f1e1,d8c7,c3d5,c7d8,d1e2,f6d5,e4d5,e6d5,a1d1,d8f6,d3h7,g8h7,d1d5,a8d8,f3e5,d8d5,e2e4,h7g8,e4d5,f8d8,d5c5,d8e8,f2f4,c6e5,e1e5,e8d8,c5e3,f6c6,g3g4,d8d1,g1h2,d1d8,h2g3,c6c2,e5e8,d8e8,e3e8,g8h7,e8f7,c2b2,f4f5,b2a3,g3h4,a3b4,f7g6,h7h8,g6h5,h8g8,h5e8,g8h7,h4h5,b4d6,h5g5,d6h6"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,AlmirDzhumaev,vovkcoach,0-1,2210,2517,180+2,12:08:17 PDT,vovkcoach won by resignation,"e2e4,c7c5,b1c3,e7e6,g2g3,b7b6,f1g2,c8b7,d2d3,g8f6,f2f4,d7d5,e4d5,f6d5,c3d5,b7d5,g2d5,d8d5,d1f3,b8c6,f3d5,e6d5,c1d2,e8d7,e1c1,f8d6,g1f3,h7h5,d1e1,a8e8,d2c3,f7f6,a2a3,b6b5,b2b3,a7a5,c3b2,d5d4,c1d2,a5a4,e1e8,h8e8,h1e1,e8a8,b3a4,a8a4,c2c3,d4c3,d2c3,c6e7,c3b3,e7f5,e1e4,a4a8,e4e1,d7c6,e1e6,c6d5,e6e1,c5c4,d3c4,b5c4,b3a2,c4c3,b2c3,d6a3,a2b3,a3c5,f3d2,f5e3,d2f1,a8a3,b3b2,e3c4,b2c2,a3a2,c2b3,a2a3,b3c2,c5b6,e1d1,d5e4,f1d2,c4d2,c3d2,e4f3,d1b1,b6e3,d2e3,a3e3,b1b7,g7g5,f4g5,f6g5,b7h7,e3e2,c2d3,e2h2,h7g7,g5g4"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Carolina-moon,JamesColeman,0-1,2065,2351,180+2,12:08:26 PDT,JamesColeman won on time,"e2e4,e7e5,g1f3,b8c6,f1b5,g8f6,d2d3,f8c5,e1g1,c6d4,f3d4,c5d4,c2c3,d4b6,c1e3,c7c6,b5a4,e8g8,b1d2,d7d5,e3g5,h7h6,g5h4,d8d6,d1f3,g7g5,h4g3,c8g4,g3e5,d6e5,f3g3,e5g3,h2g3,g4e2,f1e1,e2d3,e4d5,c6d5,d2f3,f6e4,f3d4,b6d4,c3d4,a8c8,f2f3,e4f6,e1e3,d3c2,a4b5,a7a6,b5f1,f8e8,a1e1,e8e3,e1e3,g8f8,g1f2,c2g6,a2a4,c8c2,f2g1,c2b2,e3c3,b2c2,c3b3,c2c7,b3b6,f6d7,b6d6,f8e7,d6d5,c7c1,g1f2,d7f6,d5e5,e7d6,e5e3,f6d5,e3b3,b7b6,f1a6,c1c2,f2g1,c2c3,b3b2,g6d3,a6b7,c3c1,g1h2,c1c2,b2b3,d3f1,b7d5,d6d5,b3b6,c2g2,h2h1,g2g3,b6f6,f1g2,h1h2,g3f3,f6h6,f3h3,h6h3,g2h3,h2h3,d5d4,h3g4,f7f6,a4a5,d4c5,g4f5,c5b5"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Fischwitsch,Time2Pretend,1/2-1/2,2056,2329,180+2,12:08:27 PDT,Game drawn by repetition,"g1f3,d7d5,c2c4,e7e6,g2g3,g8f6,f1g2,d5c4,b1a3,f8a3,b2a3,b7b5,c1b2,c8b7,a3a4,a7a6,a4b5,a6b5,a2a4,b5b4,d1c2,b7d5,e1g1,b8d7,f1d1,d7c5,d2d3,c4c3,b2c3,b4c3,c2c3,c5a4,c3b4,a4b6,a1c1,d8d6,b4c3,e8g8,e2e4,d5b7,e4e5,d6d8,e5f6,b6d5,c3b2,a8b8,f6g7,f8e8,h2h4,d5f4,b2d2,f4g2,g1g2,d8d5,d2e3,b7a8,c1c5,d5b7,d1c1,b8c8,h4h5,h7h6,c1c4,e8d8,c4f4,d8d5,c5d5,b7d5,f4f6,d5h5,g2g1,a8f3,f6f3,g8g7,e3d4,e6e5,d4d7,h5f3,d7c8,f3d1,g1g2,d1d3,c8c7,e5e4,c7f4,d3d5,f4g4,g7h7,g2g1,f7f5,g4f4,d5d7,g1g2,d7e6,f4e3,h7g6,e3f4,e6d5,g2g1,d5d1,g1g2,d1g4,f4d6,g6h5,d6f6,g4f3,g2g1,e4e3,f6f7,h5g5,f7g7,g5h5,g7f7,h5g5,f7g7,g5h5,g7f7,h5g5"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Iran_Chess_Trainer,THORK,0-1,2389,2154,180+2,12:08:32 PDT,THORK won on time,"b2b3,b7b6,c1b2,c8b7,e2e3,e7e6,f2f4,c7c5,g1f3,a7a6,f1d3,d7d6,e1g1,b8d7,d1e1,g8f6,e1g3,h7h6,b1c3,d8c7,a1e1,d6d5,f3e5,h8g8,e5d7,f6d7,c3d1,e8c8,c2c4,g7g6,c4d5,e6d5,g3h3,f7f5,d1f2,h6h5,h3h4,f8d6,f2h3,d8e8,h3g5,e8e7,e1c1,c8b8,h4f2,g8e8,c1c2,b6b5,f1c1,c5c4,d3f1,d7c5,b2d4,c7d7,b3c4,d5c4,d2d3,c5d3,f1d3,c4d3,c2d2,b7e4,a2a4,d7b7,a4b5,a6b5,c1b1,b5b4,f2f1,e8c8,d2a2,c8c2,a2a7,c2g2,f1g2,e4g2,a7b7,g2b7,g1f2,b7e4,g5f3,b8b7,b1b2,b7c6,f3d2,c6d5,b2a2,e7c7,a2a5,d5e6,d2b3,c7c2,f2g3,c2g2,g3h3,g2c2,a5a6,e6d5,a6a5,d5c4,b3a1,b4b3,a5a4,d6b4,a1c2,b3c2"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,GMNeiksans,oggy1984,1-0,2494,2205,180+2,12:09:03 PDT,GMNeiksans won on time,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,g8f6,b1c3,d7d6,f1e2,a7a6,f2f4,f8e7,e1g1,d8c7,c1e3,b8c6,d1e1,c8d7,a1d1,e8g8,e1g3,c6d4,e3d4,d7c6,g1h1,f8c8,e2d3,b7b5,e4e5,f6h5,g3h3,g7g6,h3e3,c7b7,d1d2,c8d8,c3e4,d6e5,f4e5,h5g7,e4f6,e7f6,e5f6,g7e8,e3h6,d8d5,d4e3,d5h5,h6f4,a8d8,h1g1,b5b4,h2h3,a6a5,g1h2,b7c7,f4c7,e8c7,e3b6,d8d7,f1f2,c7a8,b6e3,h5d5,e3f4,a5a4,b2b3,a4a3,d2e2,a8b6,f4d2,d5d4,d2e3,c6b7,e3d4,d7d4,e2d2,e6e5,d3f1"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,Time2Pretend,IMRosen,1-0,2334,1997,180+2,12:11:19 PDT,Time2Pretend won - game abandoned,d2d4
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,brauliocuarta,kevin9512,1/2-1/2,1957,1852,180+2,12:11:54 PDT,Game drawn by agreement,"d2d4,g8f6,c2c4,e7e6,b1c3,f8b4,e2e3,c7c5,g1e2,b7b6,a2a3,b4a5,a1b1,b8a6,g2g3,c8b7,d4d5,b6b5,f1g2,b5c4,e1g1,e6d5,c3d5,f6d5,g2d5,b7c6"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,Danesz22,HZMC92,1-0,2362,2153,180+2,12:14:26 PDT,Danesz22 won by resignation,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,g7g6,c1e3,f8g7,f2f3,e8g8,d1d2,b8c6,f1c4,c8d7,e1c1,a8c8,c4b3,c6e5,h2h4,e5c4,b3c4,c8c4,c1b1,b7b5,b2b3,c4c5,d4e6,f7e6,e3c5,d6c5,e4e5,f6d5,c3d5,g7e5,d2g5,e5g7,h4h5,f8f5,d5e7,g8f7,h5g6,f7f8,d1d7,d8d7,e7f5,e6f5,g6h7,d7d4,g5g7"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,marabu44,AlmirDzhumaev,1/2-1/2,2223,2210,180+2,12:14:59 PDT,Game drawn by agreement,"g1f3,d7d5,b2b3,g8f6,c1b2,e7e6,e2e3,f8e7,f1e2,b7b6,e1g1,c8b7,d2d3,c7c5,b1d2,b8c6,f3e5,e8g8,d2f3,c6e5,f3e5,f6d7,f2f4,f7f6,e5d7,d8d7,e2f3,e7d6,d1e1,a8e8,e1h4,e6e5,a1e1,e5f4,e3f4,d5d4,b2c1,b7f3,f1f3,e8e1,h4e1,f8e8,e1f1,f6f5,a2a4,e8e6,f3f2,d7e7,c1d2,e7h4,g2g3,h4g4,f2f3,h7h6,g1g2,g8h7,f1d1,g4g6,f3f2,g6e8,d1f3,e8e7,h2h4,g7g6,g2g1,h6h5,g1g2,h7g7,g2g1,g7f7,g1g2,a7a6,f3a8,a6a5,a8d5,f7g7,d5f3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,jcibarra,JamesColeman,1-0,2442,2342,180+2,12:15:01 PDT,jcibarra won by resignation,"e2e4,e7e5,g1f3,b8c6,f1b5,g8f6,e1g1,f6e4,d2d4,e4d6,d4e5,d6b5,a2a4,b5d4,f3d4,c6d4,d1d4,d7d5,b1c3,c7c6,d4d3,f8e7,d3g3,g7g6,c1h6,c8e6,a4a5,e7f8,h6f8,e8f8,c3e2,f8g7,e2d4,c6c5,d4b5,d5d4,b5d6,d8d7,f2f4,f7f5,e5f6,g7f6,g3g5,f6g7,g5e5,g7g8,f4f5,e6f7,f5g6,f7g6,a1e1,a8d8,f1f6"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,Nouki,Alexander_Donchenko,1-0,2603,2305,180+2,12:15:03 PDT,Nouki won by resignation,"g1f3,c7c5,c2c4,b8c6,b1c3,c6d4,e2e3,d4f3,d1f3,g7g6,b2b3,f8g7,c1b2,d7d6,g2g4,a8b8,f1g2,c8d7,h2h4,d7c6,f3g3,c6g2,g3g2,h7h5,g4g5,e7e6,e1c1,g8e7,c3e4,e8g8,e4f6,g8h8,d2d4,c5d4,d1d4,e7g8,h1d1,g8f6,d4d6,d8e7,g5f6,g7f6,f2f4,f8e8,c1c2,f6b2,c2b2,e7h4,d6d7,h4f6,b2a3,e8d8,g2e4,h8g8,e4e5,d8d7,e5b8,g8g7,d1d7,f6c3,b8e8,c3c1,a3a4,b7b5,c4b5"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,Th3ChessViking,KingPetrosian,1-0,2390,2091,180+2,12:15:18 PDT,Th3ChessViking won by resignation,"d2d4,g8f6,g1f3,d7d5,c1f4,e7e6,e2e3,h7h6,b1d2,f8d6,f4g3,d6g3,h2g3,e8g8,f1d3,b8c6,c2c3,d8e7,d3b5,c8d7,b5c6,d7c6,f3e5,e7d6,g3g4,f6d7,f2f4,d7e5,d4e5,d6e7,g4g5,f7f6,e5f6,g7f6,g5h6,e7h7,d1g4,g8f7,g4h5,f7e7,e1c1,c6e8,h5h4,a7a5,g2g4,b7b5,g4g5,e8g6,g5f6,f8f6,h1g1,e7f7,e3e4,b5b4,d2f3,f7e7,e4e5,a8f8,e5f6,f8f6,f3e5,b4c3,g1g6"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,2,GMG,KaydenTroffChess,1-0,2310,2332,180+2,12:15:46 PDT,GMG won by resignation,"c2c4,g8f6,b1c3,e7e5,g1f3,b8c6,g2g3,c6d4,f1g2,d4f3,g2f3,f8b4,d1b3,b4c3,b3c3,e5e4,f3g2,e8g8,e1g1,c7c6,d2d3,e4d3,c3d3,h7h6,b2b3,d7d5,c4d5,f6d5,f1d1,c8e6,c1a3,f8e8,e2e4,d5c7,f2f3,c7b5,a3c5,d8a5,a2a4,b5c7,b3b4,a5a6,d3d6,a8c8,d6d4,b7b6,c5d6,e8d8,g2f1,a6b7,d4c3,c7e8,d6e5,f7f6,e5d4,e8d6,e4e5,f6e5,d4e5,d6e8,f1d3,b7f7,d3a6,c8a8,c3c6,e6b3,d1d8,a8d8,c6c3,b3d5,a1f1,d8d7,f1d1,d7e7,d1d5,g8h8,a6c4,f7f5,e5g7"
